"Trong React, 'components' là gì?","Chúng là các khối xây dựng UI (giao diện người dùng) có thể tái sử dụng, kết hợp markup, CSS và JavaScript."
Hai quy tắc đặt tên và trả về cho một hàm JavaScript để được coi là một component React là gì?,Tên của nó phải luôn bắt đầu bằng chữ in hoa và nó phải trả về markup JSX.
JSX là gì?,JSX là một phần mở rộng cú pháp cho JavaScript cho phép bạn viết markup giống HTML bên trong một tệp JavaScript.
Làm thế nào để bạn nhúng một biểu thức JavaScript động bên trong JSX?,"Bạn sử dụng dấu ngoặc nhọn, ví dụ: `<h1>{user.name}</h1>`."
Mục đích của 'props' trong React là gì?,'Props' (viết tắt của properties) được sử dụng để truyền thông tin từ một component cha xuống một component con.
"Khi bạn lồng các component, như trong `<Card><Avatar /></Card>`, component cha (`Card`) nhận nội dung lồng vào trong một prop đặc biệt tên là gì?",Prop đó được gọi là `children`.
"Trong React, trạng thái (state) được coi là bất biến (immutable). Điều này có nghĩa là gì khi cập nhật props?","Bạn không nên cố gắng thay đổi trực tiếp props; thay vào đó, component cha phải truyền các props mới."
Hook `useState` được sử dụng để làm gì trong một component?,"Nó cho phép một component 'ghi nhớ' thông tin giữa các lần render, cung cấp bộ nhớ cục bộ cho component đó."
"Lệnh gọi `const [index, setIndex] = useState(0);` trả về gì?",Nó trả về một mảng chứa hai phần tử: biến trạng thái hiện tại (`index`) và hàm cập nhật trạng thái (`setIndex`).
"Tại sao các Hook như `useState` phải được gọi ở cấp cao nhất của component, không phải bên trong các điều kiện hoặc vòng lặp?",Bởi vì React dựa vào thứ tự gọi Hook ổn định trong mỗi lần render để trả về đúng cặp trạng thái.
Trạng thái (state) có được chia sẻ giữa các bản sao của cùng một component được render hai lần không?,"Không, trạng thái hoàn toàn riêng tư và bị cô lập với từng bản sao (instance) của component trên màn hình."
"Khi hai component con cần chia sẻ và đồng bộ hóa trạng thái, kỹ thuật được sử dụng là gì?","Kỹ thuật đó là 'lifting state up' (nâng trạng thái lên), di chuyển trạng thái đến component cha chung gần nhất của chúng."
"Trong việc cấu trúc trạng thái, tại sao bạn nên nhóm các trạng thái liên quan lại với nhau?","Nếu hai hoặc nhiều biến trạng thái luôn thay đổi cùng nhau, việc hợp nhất chúng thành một biến trạng thái duy nhất sẽ giúp giữ chúng đồng bộ và tránh quên cập nhật một trong số chúng."
"Trong React, 'trạng thái dư thừa' (redundant state) là gì và tại sao nên tránh nó?",Đó là thông tin có thể được tính toán từ các props hoặc các biến trạng thái hiện có trong quá trình render; nên tránh nó để không phải giữ nhiều phần của trạng thái đồng bộ.
"Tại sao việc nhân bản trạng thái (duplication in state), chẳng hạn như giữ cả một danh sách các mục và một 'mục đã chọn' riêng biệt, lại là một ý tưởng tồi?",Bởi vì rất khó để giữ dữ liệu nhân bản đồng bộ; tốt hơn là chỉ lưu trữ ID của mục đã chọn và tìm mục đó từ danh sách trong khi render.
Tại sao trạng thái lồng sâu (deeply nested state) lại không được khuyến khích trong React?,"Bởi vì việc cập nhật trạng thái lồng sâu rất bất tiện và dài dòng, đòi hỏi phải tạo bản sao của các đối tượng ở mọi cấp độ; ưu tiên cấu trúc trạng thái phẳng (normalized)."
Phát biểu `position.x = 5;` trên một đối tượng trạng thái được gọi là gì và tại sao nó là một vấn đề trong React?,"Đây được gọi là một 'mutation' (đột biến); nó là một vấn đề vì React sẽ không kích hoạt một lần render lại, và nó thay đổi các 'snapshot' trạng thái của các lần render trước đó."
"Để cập nhật một đối tượng trong trạng thái mà không làm thay đổi nó, bạn nên tạo một bản sao mới bằng cách sử dụng cú pháp _____.","cú pháp spread (`...`), ví dụ: `setPerson({ ...person, firstName: 'New' });`."
"Khi cập nhật một mảng trong trạng thái, thay vì sử dụng các phương thức làm thay đổi mảng như `push()` hoặc `pop()`, bạn nên sử dụng các phương thức không làm thay đổi như _____ và _____.",`map()` và `filter()`.
"Để thêm một mục vào một mảng trong trạng thái React, bạn có thể sử dụng cú pháp spread như thế nào?","Bằng cách tạo một mảng mới với mục mới và các mục cũ được trải ra, ví dụ: `setArtists([...artists, newArtist]);`."
"Để cập nhật một đối tượng bên trong một mảng trạng thái, bạn nên sử dụng phương thức `map` để làm gì?","Để tạo một mảng mới, trong đó bạn trả về một bản sao mới của đối tượng bạn muốn thay đổi và các đối tượng gốc cho tất cả các mục khác."
Khái niệm 'state as a snapshot' (trạng thái như một ảnh chụp nhanh) có nghĩa là gì?,"Mỗi lần render 'nhìn thấy' một phiên bản trạng thái cố định không thay đổi, và các trình xử lý sự kiện của nó cũng 'nhớ' trạng thái từ lần render mà chúng được tạo ra."
"Trong React, quá trình hiển thị giao diện người dùng có hai giai đoạn chính là gì?",Hai giai đoạn là 'Render' (khi React gọi các component của bạn để tính toán đầu ra) và 'Commit' (khi React áp dụng các thay đổi vào DOM).
Một hàm component React phải luôn là một hàm 'thuần túy' (pure function). Điều này có nghĩa là gì?,"Với cùng một đầu vào (props, state), nó phải luôn trả về cùng một JSX và không được thay đổi bất kỳ đối tượng hoặc biến nào đã tồn tại trước khi render."
"Trong quá trình render, việc thay đổi một biến đã tồn tại bên ngoài component được gọi là gì?","Một 'side effect' (tác dụng phụ), và nó phải được tránh trong logic render."
Làm thế nào để truyền một trình xử lý sự kiện (event handler) từ một component cha đến một component con?,"Bằng cách truyền hàm xử lý sự kiện đó xuống dưới dạng một prop, ví dụ: `<Button onClick={handlePlayClick} />`."
Sự kiện trong React 'lan truyền' (propagate) hoặc 'sủi bọt' (bubble) lên cây component. Điều này có nghĩa là gì?,Một sự kiện được kích hoạt trên một phần tử con cũng sẽ kích hoạt các trình xử lý sự kiện của các component cha của nó theo thứ tự đi lên cây.
Làm thế nào để bạn ngăn chặn một sự kiện lan truyền lên các component cha?,Bằng cách gọi phương thức `e.stopPropagation()` trên đối tượng sự kiện.
Sự khác biệt giữa `e.stopPropagation()` và `e.preventDefault()` là gì?,"`e.stopPropagation()` ngăn sự kiện lan truyền lên các thẻ cha, trong khi `e.preventDefault()` ngăn hành vi mặc định của trình duyệt cho sự kiện đó."
React bảo toàn trạng thái của một component miễn là nó được render ở _____ trong cây UI.,cùng một vị trí
Tại sao bạn không nên lồng các định nghĩa hàm component bên trong các component khác?,"Bởi vì một hàm component *khác nhau* được tạo ra trong mỗi lần render, khiến React coi đó là một component *mới* và đặt lại trạng thái của nó và các con của nó."
"Trong React, 'key' là gì và mục đích chính của nó là gì?","Key là một chuỗi hoặc số duy nhất trong số các anh em của nó, giúp React xác định các mục trong một danh sách để theo dõi các thay đổi như chèn, xóa hoặc sắp xếp lại."
Làm thế nào bạn có thể buộc React đặt lại trạng thái của một component (và các con của nó) ngay cả khi nó được render ở cùng một vị trí?,"Bằng cách gán cho nó một `key` khác; khi `key` thay đổi, React sẽ phá hủy component cũ và tạo một instance mới với trạng thái mới."
Khi nào bạn nên sử dụng 'Context' trong React?,Khi bạn cần truyền dữ liệu qua nhiều cấp độ component mà không cần phải truyền props một cách thủ công qua từng cấp (để tránh 'prop drilling').
Ba bước để sử dụng Context trong React là gì?,1. Tạo context bằng `createContext()`. 2. Cung cấp context bằng cách bọc các component con trong `<MyContext.Provider value={...}>`. 3. Sử dụng context bằng Hook `useContext(MyContext)`.
Mục đích chính của Hook `useEffect` là gì?,"Để đồng bộ hóa một component với một hệ thống bên ngoài, chẳng hạn như API mạng, DOM của trình duyệt, hoặc thư viện của bên thứ ba."
Mảng phụ thuộc (dependency array) trong `useEffect` kiểm soát điều gì?,Nó kiểm soát khi nào Effect sẽ chạy lại; Effect sẽ chỉ chạy lại nếu một trong các giá trị trong mảng phụ thuộc đã thay đổi kể từ lần render cuối cùng.
"Trong `useEffect`, một mảng phụ thuộc rỗng (`[]`) có nghĩa là gì?","Nó có nghĩa là Effect sẽ chỉ chạy một lần, sau lần render đầu tiên (khi component 'mounts')."
Hàm 'cleanup' được trả về từ một `useEffect` được sử dụng để làm gì?,"Nó được sử dụng để dừng hoặc hoàn tác bất cứ điều gì Effect đã làm, chẳng hạn như hủy đăng ký một sự kiện hoặc hủy một kết nối mạng."
Khi nào thì nên tính toán một giá trị trực tiếp trong quá trình render thay vì cập nhật nó trong một `useEffect`?,Khi giá trị đó có thể được tính toán hoàn toàn từ các props hoặc trạng thái hiện có; sử dụng Effect trong trường hợp này là không hiệu quả.
Hook `useMemo` được sử dụng để làm gì?,Nó được sử dụng để ghi nhớ (cache hoặc 'memoize') kết quả của một phép tính tốn kém để nó không chạy lại trong mỗi lần render trừ khi các phụ thuộc của nó thay đổi.
Hook `useRef` khác với `useState` như thế nào?,"Việc thay đổi thuộc tính `.current` của một ref không kích hoạt một lần render lại, trong khi việc cập nhật trạng thái thì có."
Một trường hợp sử dụng phổ biến của `useRef` là gì?,"Để có quyền truy cập vào một nút DOM, cho phép các hành động như đặt tiêu điểm (`focus()`) hoặc cuộn đến nó một cách có lập trình."
Một 'Custom Hook' (Hook tùy chỉnh) trong React là gì?,"Đó là một hàm JavaScript có thể tái sử dụng bắt đầu bằng 'use' mà có thể gọi các Hook khác, cho phép bạn trích xuất và chia sẻ logic có trạng thái giữa các component."
Mỗi lần gọi một Hook tùy chỉnh có chia sẻ trạng thái với các lần gọi khác của cùng một Hook không?,"Không, mỗi lần gọi một Hook tùy chỉnh là hoàn toàn độc lập và có trạng thái riêng của nó."
React Compiler là gì và nó tự động hóa điều gì?,"React Compiler là một công cụ thời gian xây dựng (build-time tool) tự động tối ưu hóa các component bằng cách thêm 'memoization' (ghi nhớ), giúp giảm thiểu các lần render lại không cần thiết."
Làm thế nào để bạn chọn tham gia (opt-in) biên dịch cho một component cụ thể khi React Compiler đang ở chế độ 'annotation'?,"Bằng cách thêm chỉ thị `""use memo"";` ở đầu hàm component."
"Để thêm React vào một phần của một trang hiện có, bạn cần thiết lập một môi trường JavaScript modular và sau đó render component của bạn vào một _____ cụ thể trong HTML.",phần tử DOM
"Trong React, 'prop drilling' là gì?",Đó là quá trình truyền dữ liệu từ một phần của cây component React đến một phần khác bằng cách truyền nó qua các cấp độ component trung gian không cần đến nó.
"Khi xây dựng UI trong React, bước đầu tiên trong quá trình tư duy được đề xuất là gì?",Chia nhỏ UI thành một hệ thống phân cấp component (component hierarchy).
Nguyên tắc 'single source of truth' (nguồn chân lý duy nhất) có nghĩa là gì đối với trạng thái trong React?,"Đối với mỗi phần trạng thái, nên có một component duy nhất 'sở hữu' nó, và dữ liệu đó sẽ được truyền xuống cho các component khác khi cần thiết."
"Trong luồng dữ liệu của React, làm thế nào một component con có thể cập nhật trạng thái của component cha?","Component cha truyền một hàm xử lý sự kiện (như `onSomethingChange`) xuống cho con dưới dạng một prop, và con gọi hàm đó để thông báo cho cha về sự thay đổi."
Một 'controlled component' (component được kiểm soát) trong ngữ cảnh của các biểu mẫu là gì?,"Đó là một component mà giá trị của nó được kiểm soát bởi trạng thái React, thay vì trạng thái DOM nội bộ của chính nó."
Làm thế nào để bạn thêm TypeScript vào một dự án React hiện có?,Bằng cách cài đặt các gói định nghĩa kiểu chữ như `@types/react` và `@types/react-dom` và cấu hình tệp `tsconfig.json`.
Tệp chứa JSX phải sử dụng phần mở rộng tệp nào khi sử dụng TypeScript?,Nó phải sử dụng phần mở rộng tệp `.tsx`.
Làm thế nào để bạn định nghĩa kiểu cho các props của một component trong TypeScript?,Bằng cách sử dụng một `interface` hoặc `type` để mô tả hình dạng của đối tượng props.
Mục đích của việc sử dụng một linter như ESLint trong một dự án React là gì?,"Để tìm các vấn đề trong mã nguồn khi bạn viết, giúp bạn sửa chúng sớm và tuân thủ các quy tắc, chẳng hạn như 'Rules of React'."
'React Developer Tools' là gì và nó hữu ích cho việc gì?,"Đó là một tiện ích mở rộng trình duyệt cho phép bạn kiểm tra props và trạng thái của các component React, giúp gỡ lỗi ứng dụng của bạn."
So sánh giữa một component 'được kiểm soát' (controlled) và 'không được kiểm soát' (uncontrolled).,"Một component 'được kiểm soát' nhận giá trị của nó qua props và thông báo thay đổi qua callbacks, trong khi một component 'không được kiểm soát' quản lý trạng thái của riêng nó trong nội bộ."
`Render Tree` trong React là gì?,"Là một biểu diễn mối quan hệ cha-con giữa các component được render trong một lần render duy nhất, hữu ích để hiểu luồng dữ liệu và hiệu suất."
`Module Dependency Tree` trong React là gì và nó được sử dụng để làm gì?,"Là một cây biểu diễn các câu lệnh `import` giữa các tệp JavaScript, được các công cụ xây dựng sử dụng để đóng gói (bundle) mã cần thiết cho ứng dụng."
"Trong một trình xử lý sự kiện, mã được coi là _____ và sẽ không chạy lại trừ khi người dùng thực hiện lại tương tác đó.",không phản ứng (not reactive)
Logic bên trong một `useEffect` được coi là _____ và sẽ chạy lại nếu một giá trị phản ứng mà nó đọc thay đổi.,phản ứng (reactive)
"Để trích xuất logic không phản ứng từ một Effect, bạn có thể sử dụng Hook _____.",`useEffectEvent`
"Trong lập trình UI, cách tiếp cận 'khai báo' (declarative) của React khác với cách tiếp cận 'mệnh lệnh' (imperative) như thế nào?","Lập trình khai báo mô tả UI cho mỗi trạng thái hình ảnh, trong khi lập trình mệnh lệnh quản lý vi mô từng phần của UI một cách trực tiếp."
"Khi mô hình hóa trạng thái cho một component, mục tiêu là ngăn chặn các trường hợp mà trạng thái trong bộ nhớ không đại diện cho bất kỳ _____ hợp lệ nào.",giao diện người dùng (UI)
"Để cài đặt React Compiler, bạn nên cài đặt gói nào dưới dạng một devDependency?",Gói `babel-plugin-react-compiler`.
"Để tích hợp React vào một ứng dụng di động gốc hiện có, bạn nên sử dụng công nghệ nào?",React Native.